train_l_rec,train_l_en,train_l_eff,loss_train,val_l_rec,val_l_en,val_l_eff,loss_val
2.803005210833590792e-08,3.263497529253522322e-01,0.000000000000000000e+00,3.455704715880336653e-05,2.705819235619038554e-08,3.165747489355787425e-01,0.000000000000000000e+00,3.338968721597862347e-05
2.801487872955409699e-08,3.261975074754849269e-01,0.000000000000000000e+00,3.453882883578640156e-05,2.705649611529299642e-08,3.185841354388224689e-01,0.000000000000000000e+00,3.342817843629377527e-05
2.799658376154968598e-08,3.262419865202547675e-01,0.000000000000000000e+00,3.452142331014965252e-05,2.708907004759273425e-08,3.192638162570663463e-01,0.000000000000000000e+00,3.347434618331999144e-05
2.797732762541842794e-08,3.262111753670137171e-01,0.000000000000000000e+00,3.450155081600993022e-05,2.711407989270182958e-08,3.176972171928308941e-01,0.000000000000000000e+00,3.346802438926128664e-05
2.796000649865383699e-08,3.261729110913998420e-01,0.000000000000000000e+00,3.448346447638188454e-05,2.704790075177220041e-08,3.188379259803627019e-01,0.000000000000000000e+00,3.342465903717564571e-05
2.794337843133466602e-08,3.260885053224909513e-01,0.000000000000000000e+00,3.446514843213461480e-05,2.699654796195986117e-08,3.187892814225788407e-01,0.000000000000000000e+00,3.337233384984215158e-05
2.792452283905167350e-08,3.261065011593832774e-01,0.000000000000000000e+00,3.444665280825543884e-05,2.696184330087402700e-08,3.186823314503778315e-01,0.000000000000000000e+00,3.333548982804522938e-05
2.791211652048266401e-08,3.260735056674811116e-01,0.000000000000000000e+00,3.443358638294057001e-05,2.694969639292197328e-08,3.189924985547609171e-01,0.000000000000000000e+00,3.332954596932918682e-05
2.789234163891626594e-08,3.260760103969940205e-01,0.000000000000000000e+00,3.441386180095198927e-05,2.693946239643065516e-08,3.174263887767550529e-01,0.000000000000000000e+00,3.328798993607051671e-05
2.787931903815021850e-08,3.260056409500300956e-01,0.000000000000000000e+00,3.439943151755024231e-05,2.696475234378213616e-08,3.185093821604040865e-01,0.000000000000000000e+00,3.333493973341434478e-05
2.786509785859761003e-08,3.260130807280794407e-01,0.000000000000000000e+00,3.438535927254249915e-05,2.693930081541485861e-08,3.179391256616085348e-01,0.000000000000000000e+00,3.329808307079232938e-05
2.784725771748245123e-08,3.259324991245513559e-01,0.000000000000000000e+00,3.436590745751716376e-05,2.692880929215288450e-08,3.190014750897129936e-01,0.000000000000000000e+00,3.330883887026140884e-05
2.783384798076411418e-08,3.259684969621426398e-01,0.000000000000000000e+00,3.435321779959380471e-05,2.688131360263371164e-08,3.179515060744708133e-01,0.000000000000000000e+00,3.324034346578513057e-05
2.781958579350254653e-08,3.258812601632400940e-01,0.000000000000000000e+00,3.433721101863174727e-05,2.691910557190642345e-08,3.197114973128596382e-01,0.000000000000000000e+00,3.331333520484032977e-05
2.780374983740718022e-08,3.259588370063919993e-01,0.000000000000000000e+00,3.432292640564153135e-05,2.687577885697614522e-08,3.179485556445544314e-01,0.000000000000000000e+00,3.323474968194112619e-05
2.779262131404967214e-08,3.259094356855095631e-01,0.000000000000000000e+00,3.431080967120365407e-05,2.681808521526962145e-08,3.192152203638342622e-01,0.000000000000000000e+00,3.320238907759585044e-05
2.777646036419106133e-08,3.259258626747741361e-01,0.000000000000000000e+00,3.429497748607524378e-05,2.683382148831374611e-08,3.184369289422336879e-01,0.000000000000000000e+00,3.320256006259978375e-05
2.776269827629913467e-08,3.259068873009955958e-01,0.000000000000000000e+00,3.428083592942649958e-05,2.682556217103301262e-08,3.177643391904951820e-01,0.000000000000000000e+00,3.318084885835606047e-05
2.775104846985385791e-08,3.258311973451805676e-01,0.000000000000000000e+00,3.426767234137700598e-05,2.685974408852641244e-08,3.179470908038223853e-01,0.000000000000000000e+00,3.321868581811549985e-05
2.773791991262175299e-08,3.258611441675279830e-01,0.000000000000000000e+00,3.425514273125050761e-05,2.678886605653150449e-08,3.176092358329627996e-01,0.000000000000000000e+00,3.314105019911304129e-05
2.772377995689093642e-08,3.258460218718310930e-01,0.000000000000000000e+00,3.424070019584977119e-05,2.682992742180989672e-08,3.183461729484268199e-01,0.000000000000000000e+00,3.319685078444124143e-05
2.771069439961447855e-08,3.258316122265512704e-01,0.000000000000000000e+00,3.422732655912625997e-05,2.684794012987200889e-08,3.193799842007552514e-01,0.000000000000000000e+00,3.323553981409773522e-05
2.770054133477689845e-08,3.258193175929949836e-01,0.000000000000000000e+00,3.421692753245166133e-05,2.674802736545286904e-08,3.177020195164257932e-01,0.000000000000000000e+00,3.310206757535674407e-05
2.768598259439922456e-08,3.258559268547782106e-01,0.000000000000000000e+00,3.420310100227264423e-05,2.673630516418413496e-08,3.175006271163119398e-01,0.000000000000000000e+00,3.308631733753954136e-05
2.767525018725428001e-08,3.258148327565142388e-01,0.000000000000000000e+00,3.419154650233348434e-05,2.671687101088203297e-08,3.169490404521362881e-01,0.000000000000000000e+00,3.305585161359874671e-05
2.766369452393395055e-08,3.257871186936587837e-01,0.000000000000000000e+00,3.417943686544488063e-05,2.674552094843800381e-08,3.186723140976097102e-01,0.000000000000000000e+00,3.311896718422516889e-05
2.765275629801073280e-08,3.257558962175332584e-01,0.000000000000000000e+00,3.416787394152920467e-05,2.669409328181205424e-08,3.183213313923606291e-01,0.000000000000000000e+00,3.306051983116371551e-05
